id,name,salary
238,Costa,148922.41
239,Hervey,187173.91
240,Garek,70478.65
241,Udale,187170.05
242,Madison,192794.43
243,Jaimie,49367.15
244,Baxy,37486.33
245,Johnny,127096.09
246,Murdoch,104546.02
247,Alexandre,196885.74
248,Axel,168057.52
249,Tobin,103576.57
250,Bastian,74572.75
251,Duff,172395.49
252,Amos,77698.57
253,Aguste,42902.72
254,Jaye,85587.39
255,Guillaume,49953.58
256,Nealy,45193.01
257,Kingsley,65419.59
258,Willem,116202.77
259,Xerxes,171383.83
260,Cordie,188359.46
261,Dimitry,191138.06
262,Marshal,94890.46
263,Galvin,83553.73
264,Jud,38493.58
265,Pattie,97791.07
266,Sutherlan,193461.99
267,Sascha,47193.28
268,Nathaniel,44748.59
269,Christiano,28875.77
270,Dalli,109356.67
271,Raymund,111687.75
272,Clark,32239.31
273,Trey,120189.21
274,Coleman,49388.32
275,Regan,117550.47
276,Pippo,79879.62
277,Witty,94589.28
278,Devin,168542.35
279,Derrick,29816.18
280,Alix,67710.96
281,Adriano,51984.17
282,Burtie,160110.80
283,Cullin,91894.78
284,Teodoor,45461.12
285,Rab,66228.15
286,Khalil,100347.99
287,Briano,33948.85
288,Grenville,157509.94
289,Leupold,151042.41
290,Dickie,34976.87
291,Hollis,65242.25
292,Robert,164248.33
293,Wain,88519.45
294,Lindy,147832.30
295,Kelly,7424.84
296,Padraic,116260.93
297,Hernando,29224.38
298,Raffarty,123080.36
299,Robinet,27504.60
300,Care,28230.95
301,Dame,71004.08
302,Kienan,129873.88
303,Everard,134657.34
304,Vasilis,105462.97
305,Adham,137904.33
306,Waiter,22563.02
307,Cosimo,104107.14
308,Emery,192441.31
309,Brandon,163484.39
310,Maximilianus,33374.44
311,Ruperto,198679.95
312,Kermit,74907.44
313,Tadio,76325.46
314,Whitaker,15802.02
315,Ransell,140302.94
316,Maison,178404.62
317,Murray,21591.20
318,Monroe,52513.24
319,Tyler,54274.30
320,Darwin,124009.49
321,Butch,114547.92
322,Matteo,146335.08
323,Ignacio,20539.40
324,Tobe,16602.79
325,Bev,103253.73
326,Tremain,39998.11
327,Barr,94792.30
328,Bernie,7761.98
329,Egor,110666.64
330,Ky,101527.41
331,Gradey,70474.39
332,Weylin,48653.00
333,Mozes,62427.97
334,Danya,136566.85
335,Cirilo,182587.22
336,Way,118916.94
337,Arlan,66580.46
338,August,147570.71
339,Ossie,100712.84
340,Montague,198777.25
341,Mateo,174349.10
342,Preston,195976.10
343,Jerrold,107884.77
344,Frazier,150334.00
345,Renault,133591.18
346,Guntar,172342.03
347,Wolfie,179711.01
348,Friedrich,132908.90
349,Des,46415.29
350,Guillermo,78106.32
351,Lovell,50671.03
352,Garner,65655.39
353,Norbie,13076.35
354,Gannon,153601.71
355,Daniel,31889.31
356,Dewain,189394.31
357,Pippo,179596.05
358,Ignazio,37701.20
359,Wat,6345.68
360,Waylon,198219.00
361,Clint,68719.92
362,Judd,106095.75
363,Fielding,33643.34
364,Berkeley,177114.26
365,Dory,43298.64
366,Barrett,102402.46
367,Manfred,28942.97
368,Sherlocke,172209.61
369,Xymenes,155203.08
370,Hal,153859.59
371,Karl,112923.79
372,Karney,65615.76
373,Thacher,152175.53
374,Lindsey,18658.95
375,Orion,136003.41
376,Aymer,90105.74
377,Rab,158314.63
378,Tye,10926.13
379,Connor,140571.27
380,Edmund,31791.90
381,Yale,142572.68
382,Anatol,93776.16
383,Svend,191553.29
384,Cooper,35401.95
385,Holmes,97346.70
386,Lonny,119722.48
387,Derry,117455.57
388,Andy,198627.78
389,Leonhard,47341.60
390,Webster,51966.25
391,Abbott,129711.16
392,Garey,135398.92
393,Nichole,71764.80
394,Loy,29949.21
395,Ches,179281.69
396,Tobias,134045.11
397,Ber,11990.68
398,Byram,161778.82
399,Fowler,107953.02
400,Lynn,113974.81
401,Nefen,113324.10
402,Aristotle,114675.01
403,Nealy,36825.52
404,Zane,71383.60
405,Gordy,147391.73
406,Rollo,61975.83
407,Osborne,54914.52
408,Griffy,50184.92
409,Isiahi,167464.42
410,Pippo,47529.71
411,Waylan,66524.98
412,Johann,74328.59
413,Jeno,37543.36
414,Poul,73888.06
415,Ross,10141.64
416,Shermy,177382.84
417,Gamaliel,111607.54
418,Verney,144359.57
419,Papageno,35184.33
420,Eberto,172838.76
421,Benton,139578.31
422,Russell,160691.42
423,Richmound,5606.01
424,Egan,198221.76
425,Robers,75301.87
426,Oliviero,109260.59
427,Fran,66601.85
428,Shurlocke,71870.00
429,Morten,67375.55
430,Conan,152718.65
431,Brantley,49157.60
432,Jed,189743.96
433,Chase,72265.42
434,Barde,43913.77
435,Colin,132250.94
436,Peadar,96129.30
437,Alfons,174030.19
438,Giraud,158692.38
439,Cully,123137.04
440,Clerc,59869.43
441,Davon,20036.55
442,Ralph,99349.22
443,Fonzie,190073.77
444,Bobbie,170287.75
445,Pearce,187672.59
446,Rollin,18521.62
447,Alfredo,96980.24
448,Karlik,172992.80
449,Dillie,2646.55
450,Tye,3125.04
451,Lothaire,97740.30
452,Burtie,27824.09
453,Murvyn,19750.69
454,Jarrid,171058.81
455,Townie,197383.50
456,Tabby,152463.12
457,Jermain,75166.72
458,Winston,127180.93
459,Garik,30612.99
460,Dante,173441.79
461,Pate,97776.15
462,Victor,101661.56
463,Kev,95926.54
464,Any,108427.12
465,Jody,50880.75
466,Leo,5205.04
467,Roscoe,54768.27
468,Rodolfo,172668.20
469,Rusty,179546.86
470,Clementius,187705.82
471,Wain,37271.27
472,Fredrick,96000.82
473,Gunner,144657.14
474,Hunt,155704.98
475,Lorens,84062.28
476,Meier,79455.02
477,Wes,103939.08
478,Bradly,185453.32
479,Niki,177611.26
480,Jerrome,7910.02
481,Allistir,40457.32
482,Kiley,17875.46
483,Alair,102385.48
484,Laird,157394.61
485,Earvin,3045.92
486,Chet,119406.02
487,Frankie,37558.74
488,Brennan,115328.09
489,Townie,131906.48
490,Jermayne,194345.91
491,Grady,130889.47
492,Maurice,40890.98
493,Kayne,146464.41
494,Lyle,62576.43
495,Emelen,96645.91
496,Barnett,53851.53
497,Moore,142594.80
498,Elbert,61273.46
499,Brady,195251.14
500,Nickie,151291.81
501,Hagan,53875.44
502,Benedetto,133102.86
503,Dominik,6214.38
504,Archibold,100012.46
505,Hill,183547.95
506,Ker,185525.98
507,Marlow,187809.54
508,Care,83914.77
509,Patrizio,142052.59
510,Edward,58156.52
511,Lamont,141885.54
512,Cori,137204.98
513,Terrence,129941.66
514,Reinold,163587.33
515,Zeke,185483.94
516,Lucian,139013.37
517,Eugenius,187512.14
518,Tyson,199967.30
519,Walton,33237.79
520,Lorne,169451.41
521,Cece,153023.57
522,Kliment,23126.05
523,Syd,47789.55
524,Patten,192705.14
525,Hermy,23286.65
526,Petey,38290.03
527,Vernon,26346.26
528,Pavlov,103998.24
529,Garvin,115699.42
530,Fleming,17433.80
531,Solomon,124999.12
532,Sandor,81399.60
533,Filip,3431.21
534,Galven,77280.95
535,Rance,56011.94
536,Gordan,196656.13
537,Berty,92834.29
538,Virgil,95690.99
539,Conrade,52951.28
540,Ingelbert,63577.44
541,Dolph,181176.68
542,Adrien,68140.04
543,Dag,117480.97
544,Kin,30119.98
545,Bartolomeo,50468.55
546,Jud,59649.99
547,Thurston,10956.93
548,Vick,128552.48
549,Jasun,9545.18
550,Elbert,100248.91
551,Sheffy,61335.91
552,Ciro,184696.06
553,Ennis,30840.46
554,Gamaliel,130371.19
555,Wendell,74712.99
556,Aron,101024.56
557,Konrad,22924.12
558,Ransell,8697.37
559,King,50468.44
560,Onofredo,12711.48
561,Marijn,120380.11
562,Nevins,106240.15
563,Enoch,189854.90
564,Terrance,121740.83
565,Herbert,135824.27
566,Teodoor,112934.97
567,Tom,99918.90
568,Gill,172961.02
569,Nathanael,172625.41
570,Morris,22777.45
571,Larry,84928.60
572,Dew,62125.54
573,Onfroi,81542.23
574,Dimitry,137084.28
575,Dmitri,44345.58
576,Aksel,180030.19
577,Grannie,175109.14
578,Saunder,191960.85
579,De witt,131239.52
580,Justinian,145233.87
581,Gil,110893.41
582,Corbie,159378.22
583,Joshua,37575.97
584,Stu,44847.30
585,Sloan,156242.05
586,Jo,73124.81
587,Chariot,193090.81
588,Benedetto,10193.15
589,Shalom,147463.68
590,Johnny,40137.01
591,Felizio,102218.03
592,Lowell,193082.75
593,De witt,146698.36
594,Olav,85273.92
595,Willis,23270.17
596,Rickie,73261.16
597,Cy,100675.83
598,Kennett,16444.74
599,Jamill,59344.27
600,Whit,18172.24
601,Nicko,66576.58
602,Dallas,12560.66
603,Abraham,26648.30
604,Holly,31733.70
605,Fransisco,197279.26
606,Ricky,55245.64
607,Jens,11290.02
608,Sergio,85340.30
609,Granville,48551.47
610,Edlin,173249.42
611,Cort,108219.77
612,Quentin,160873.75
613,Ferguson,7373.67
614,Maynard,70489.77
615,Arvin,51394.14
616,Stanton,148919.55
617,Lief,147851.10
618,Benjamin,168047.66
619,Giraud,140905.29
620,Wallis,4755.15
621,Hewet,50350.31
622,Laurence,153301.35
623,Horten,187919.68
624,Luke,161298.95
625,Lucio,21447.04
626,Taber,83442.61
627,Gearard,122015.88
628,Maynard,27969.92
629,Dick,66190.69
630,Bartlett,124055.77
631,Heath,82887.30
632,Rodolphe,188386.65
633,Ambrosius,23424.10
634,Curt,13558.00
635,Blake,122479.77
636,Marijn,130086.30
637,Rey,51847.29
638,Worden,164284.17
639,Mateo,169192.94
640,Davin,169793.93
641,Leeland,22050.40
642,Cord,181277.47
643,Gian,148111.32
644,Beck,58253.79
645,Benjamen,125637.12
646,Brose,179961.17
647,Marshall,33700.21
648,Ab,170657.85
649,Lenard,25285.17
650,Padget,152264.05
651,Tripp,144377.77
652,Brandtr,163412.65
653,Laughton,78717.90
654,Mario,26223.17
655,Kele,117249.40
656,Terry,31338.96
657,Godard,136764.58
658,Sholom,190827.35
659,Carolus,96949.88
660,Farley,19891.39
661,Mozes,76873.23
662,Jard,195202.49
663,Augie,176624.91
664,Lawrence,132389.83
665,Baird,135823.57
666,Aguie,61079.01
667,Ira,106672.28
668,Mychal,149361.97
669,Tito,25368.65
670,Brade,108244.02
671,Early,87333.91
672,Gino,128088.28
673,Garrett,35721.41
674,Selig,156131.62
675,Reinaldo,79386.74
676,Benedick,103088.87
677,Gaspard,154529.05
678,Somerset,64791.23
679,Alessandro,8516.52
680,Rudyard,163941.94
681,Jack,96239.00
682,Dilan,114363.28
683,Norry,89996.53
684,Adham,180667.45
685,Kelby,15752.70
686,Elbert,192291.45
687,Dugald,193495.45
688,Arnaldo,15475.83
689,Brewer,65644.18
690,Mandel,26179.18
691,Quill,99037.49
692,Goober,24962.31
693,Brok,41645.30
694,Marion,54342.18
695,Wash,136031.43
696,Allin,23802.12
697,Lionello,146728.84
698,Hermann,162302.31
699,Abran,175312.97
700,Levon,47389.08
701,Dall,38278.73
702,Orville,93736.62
703,Randell,130309.76
704,Thebault,40374.62
705,Farrel,153508.44
706,Chickie,192207.53
707,Kendricks,57263.11
708,Thorny,14743.29
709,Keane,173661.85
710,Gerick,145547.46
711,Torr,78339.54
712,Philip,115135.14
713,Kristofor,31905.30
714,Terri,93894.56
715,Dag,153868.30
716,Cirstoforo,129697.09
717,Hillary,44006.31
718,Aguie,56691.55
719,Englebert,126166.86
720,Gordan,69474.68
721,Bartolemo,34405.61
722,Garv,173804.68
723,Zacherie,108579.93
724,Brien,54028.92
725,Nevin,128276.35
726,Daron,147536.59
727,Samson,151799.09
728,Torre,86884.19
729,Neddy,175936.03
730,Leopold,184421.69
731,Claiborne,168386.45
732,Tarrance,151451.11
733,Boy,176253.56
734,Stanwood,10622.46
735,Cecilio,157790.66
736,Rutherford,110956.76
737,August,65618.04
738,Farleigh,4360.76
739,Dmitri,23540.94
740,Lonnie,104450.04
741,Bordie,131573.10
742,Eugene,111396.98
743,Fergus,199690.72
744,Vergil,169318.91
745,Wilek,91031.42
746,Arlin,107632.69
747,Kristofer,6468.11
748,Hailey,31370.03
749,Thorn,174752.42
750,Vin,80752.60
751,Emmet,96466.77
752,Frank,108702.99
753,Alair,103680.86
754,Raviv,115697.07
755,Percy,21674.30
756,Shannan,167218.02
757,Noby,142852.16
758,Chancey,186627.80
759,Obediah,106766.78
760,Nikos,115923.53
761,Morris,31924.82
762,Kirk,15650.84
763,Cos,41275.30
764,Lowe,69868.12
765,Dilly,160339.40
766,Onfre,162197.60
767,Husein,88163.34
768,Dominic,12173.57
769,Bryon,192595.62
770,Issiah,161993.55
771,Konstantine,67683.45
772,Felizio,120442.52
773,Emerson,11454.63
774,Engelbert,118011.22
775,Bertrand,168227.94
776,Davey,20216.64
777,Udell,73168.42
778,Muhammad,188786.98
779,Townie,7223.36
780,Hersch,18552.65
781,Nickolai,117506.86
782,Hewie,148331.41
783,Erik,29960.17
784,Udall,84252.45
785,Felice,72609.09
786,Keenan,87016.24
787,Merrill,78436.22
788,Claudian,187023.32
789,Iggy,45187.29
790,Elston,118425.07
791,Sherlock,129178.55
792,Sutherland,141273.24
793,Skye,160258.42
794,Virgie,118984.15
795,Michael,170558.30
796,Tabbie,88650.09
797,Coleman,11363.35
798,Glyn,35523.12
799,Geoffry,22194.33
800,Jacob,33912.17
801,Felipe,142287.53
802,Roma,129703.39
803,Sandor,52024.16
804,Rustie,170825.16
805,Ashlin,51027.57
806,Xymenes,2167.61
807,Boyce,137721.77
808,Shawn,126639.95
809,Cchaddie,52387.35
810,Igor,43476.10
811,Kennett,138516.75
812,Nappy,37125.58
813,Rayner,119695.12
814,Will,161715.81
815,Barny,8430.23
816,Ebenezer,139590.40
817,Alistair,179054.48
818,Tate,26608.77
819,Alwyn,122159.94
820,Feliks,108297.48
821,Skye,59266.97
822,Cosimo,7668.83
823,Wade,147140.54
824,Chicky,67464.97
825,Chev,43638.05
826,Tabor,154616.13
827,Cammy,106064.83
828,Arin,121318.29
829,Yancey,27812.03
830,Conny,172177.81
831,Ronny,115436.21
832,Shelton,44899.15
833,Omar,15321.56
834,Welsh,79421.86
835,Arnold,100702.81
836,Itch,88516.42
837,Rabbi,24621.13
838,Aguie,129835.08
839,Clemente,61032.85
840,Say,11147.51
841,West,45297.46
842,Boris,104927.00
843,Horst,64223.77
844,Mannie,189498.96
845,Bradney,118072.92
846,Eziechiele,125360.54
847,Godfrey,192619.10
848,Robb,103717.15
849,Web,28234.47
850,Felizio,62772.08
851,Yance,182491.22
852,Urbanus,95244.95
853,Ossie,154057.46
854,Oby,21593.47
855,Louie,167681.68
856,Alfons,15899.86
857,Howard,118571.20
858,Hilton,101496.12
859,Sherwin,121241.76
860,Flin,144828.28
861,Hi,191705.31
862,Barris,96790.36
863,Barret,20067.16
864,Kilian,95005.93
865,Rolph,78771.24
866,Albie,82801.33
867,Barris,102904.31
868,Edan,22040.95
869,Thedric,31817.62
870,Dick,155763.85
871,Scottie,58139.23
872,Renault,187823.23
873,Bevan,192213.62
874,Irv,115709.57
875,Craggy,70072.59
876,Vladimir,116036.26
877,Arney,62702.33
878,Filmer,112687.77
879,Titos,164715.05
880,Skelly,157676.39
881,Tris,85210.16
882,Scotti,50729.15
883,Benedikt,147265.17
884,Cirilo,140239.88
885,Ancell,11349.79
886,Reinold,173420.62
887,Byrom,142197.95
888,Benjy,36867.68
889,Cullin,98541.67
890,Antonino,49384.57
891,Stanislaus,11253.04
892,Neill,92854.91
893,Bond,49792.16
894,Mathew,69504.27
895,Garald,159110.23
896,Dorian,171342.22
897,Nealon,147665.25
898,Gaby,76469.70
899,Korey,109042.62
900,Lin,110775.26
901,Bud,99607.92
902,Izak,72469.97
903,Michail,26591.33
904,Mylo,141915.22
905,Guthrey,116504.37
906,Itch,66962.85
907,Keven,13891.89
908,Mar,39636.93
909,Boonie,21956.18
910,Trevar,164303.44
911,Jammal,142015.77
912,Arnold,44650.17
913,Lamar,155014.42
914,Jimmy,113786.44
915,Kalvin,80605.29
916,Bryce,136363.11
917,Duke,48914.17
918,Tadeo,46508.77
919,Dicky,7074.09
920,Mitchael,126375.89
921,Guglielmo,71383.16
922,Issiah,39778.79
923,Marve,153904.00
924,Farlee,44549.76
925,Jerad,193307.37
926,Stanfield,147042.03
927,Eric,34712.23
928,Brennan,100323.99
929,Diarmid,86420.55
930,Jacobo,99522.18
931,Pen,154670.65
932,Nappie,36827.14
933,Boycie,191512.64
934,Ned,13308.60
935,Gustaf,39458.61
936,Ancell,155413.91
937,Chilton,155179.88
938,Gianni,40681.10
939,Jessey,164987.58
940,Kermit,75494.78
941,Gayle,28780.69
942,Hart,17362.63
943,Harland,106403.85
944,Kain,61190.85
945,Darcy,118926.87
946,Lamar,128519.49
947,Llewellyn,4349.64
948,Odey,147092.95
949,Esme,199404.72
950,Tony,51728.27
951,Franklyn,175334.54
952,Felicio,28336.89
953,Jodi,168091.58
954,Scott,16579.83
955,Harmon,183814.28
956,Trefor,110896.57
957,Hartwell,31923.03
958,Parnell,66563.38
959,Harman,52684.18
960,Nichols,121562.27
961,Haydon,154508.44
962,Thornie,93202.02
963,Jesus,120648.06
964,Victor,154931.85
965,Cornall,7684.26
966,Dael,104964.86
967,Norbert,186207.23
968,Elias,172307.74
969,Quintus,114707.49
970,Benedetto,156577.37
971,Prent,8449.25
972,Fredric,99744.74
973,Nicolis,33945.32
974,Juan,199560.79
975,Kimbell,58338.30
976,Remington,113177.30
977,Cello,17062.16
978,Kory,189109.57
979,Byrle,169170.82
980,Stanleigh,80883.12
981,Meredeth,168647.31
982,Murray,19731.92
983,Mikkel,103491.78
984,Bernarr,125615.53
985,Britt,10242.78
986,Johnathon,36020.33
987,Cletis,176443.34
988,Cori,137043.04
989,Reese,199419.33
990,Rorke,111687.15
991,Prinz,106101.88
992,Harv,100958.67
993,Ingamar,24773.21
994,Mayer,10838.81
995,Way,48021.74
996,Farrell,86382.00
997,Vincenty,17331.01
998,Nikola,107322.05
999,Luca,66282.10
1000,Staffard,123133.78
